param,eleN,trackAnat,depth
7.5726,1,c,4789
42.9357,2,a,4489
50.1028,2,a,4489
7.2376,1,c,4190
62.8175,2,a,4190
111.9178,3,l,4190
12.8628,3,l,4190
10.6196,1,c,3890
6.0941,1,c,3890
38.2492,2,a,3890
63.5438,2,a,3890
59.1734,3,l,3890
11.7981,1,c,3590
49.6212,2,a,3590
87.0622,3,l,3590
41.7249,3,l,3590
29.9995,1,c,2092
61.0617,1,c,2092
27.9511,2,a,2092
49.0807,3,l,2092
70.6128,1,c,1792
39.4242,2,a,1792
39.3265,3,l,1792
63.0584,1,c,1193
65.3277,1,c,1193
21.0327,2,a,1193
46.6003,2,a,1193
35.567,3,l,1193
46.9903,3,l,1193
52.1652,1,c,893
44.0129,2,a,893
